id,samp_date,spectrum,YC,YB,habitat,area,sex,age
2A069772,06.10.14,GT_AMAR_1249,0.599607486,12.93113411,Urban,Madrid,1,1yr
2A069772,06.10.14,GT_AMAR_1250,0.574073197,12.39206628,Urban,Madrid,1,1yr
2A069772,06.10.14,GT_AMAR_1251,0.52666344,13.17702234,Urban,Madrid,1,1yr
2A069772,06.10.14,GT_AMAR_1252,0.586840381,12.72240744,Urban,Madrid,1,1yr
2A069772,06.10.14,GT_AMAR_1253,0.38677367,12.48843315,Urban,Madrid,1,1yr
2A069772,06.10.14,GT_AMAR_1254,0.504417182,14.24535846,Urban,Madrid,1,1yr
2A069775,06.10.14,GT_AMAR_1255,0.487795862,12.09810885,Urban,Madrid,1,2yr+
2A069775,06.10.14,GT_AMAR_1256,0.347659595,12.58751126,Urban,Madrid,1,2yr+
2A069775,06.10.14,GT_AMAR_1257,0.359820233,11.61162587,Urban,Madrid,1,2yr+
2A069775,06.10.14,GT_AMAR_1258,0.475113458,11.72165968,Urban,Madrid,1,2yr+
2A069775,06.10.14,GT_AMAR_1259,0.520347161,11.95707751,Urban,Madrid,1,2yr+
2A069775,06.10.14,GT_AMAR_1260,0.408741902,11.27165729,Urban,Madrid,1,2yr+
2A069779,06.10.14,GT_AMAR_1261,0.469017865,10.9135633,Urban,Madrid,2,2yr+
2A069779,06.10.14,GT_AMAR_1262,0.538542213,9.407797707,Urban,Madrid,2,2yr+
2A069779,06.10.14,GT_AMAR_1263,0.424549113,10.56657996,Urban,Madrid,2,2yr+
2A069779,06.10.14,GT_AMAR_1264,0.62213526,12.16058173,Urban,Madrid,2,2yr+
2A069779,06.10.14,GT_AMAR_1265,0.54843176,11.03071168,Urban,Madrid,2,2yr+
2A069779,06.10.14,GT_AMAR_1266,0.64591497,9.614301403,Urban,Madrid,2,2yr+
2A069780,06.10.14,GT_AMAR_1267,0.375488203,10.69210029,Urban,Madrid,1,2yr+
2A069780,06.10.14,GT_AMAR_1268,0.358340194,11.07823117,Urban,Madrid,1,2yr+
2A069780,06.10.14,GT_AMAR_1269,0.439866503,12.02836161,Urban,Madrid,1,2yr+
2A069780,06.10.14,GT_AMAR_1270,0.620941832,10.42806049,Urban,Madrid,1,2yr+
2A069780,06.10.14,GT_AMAR_1271,0.470104249,12.36568435,Urban,Madrid,1,2yr+
2A069780,06.10.14,GT_AMAR_1272,0.443445888,9.583543568,Urban,Madrid,1,2yr+
2A069783,06.10.14,GT_AMAR_1273,0.478463806,13.79569158,Urban,Madrid,2,1yr
2A069783,06.10.14,GT_AMAR_1274,0.282648864,13.52500884,Urban,Madrid,2,1yr
2A069783,06.10.14,GT_AMAR_1275,0.277241416,12.21490929,Urban,Madrid,2,1yr
2A069783,06.10.14,GT_AMAR_1276,0.226482477,12.97171015,Urban,Madrid,2,1yr
2A069783,06.10.14,GT_AMAR_1277,0.304162554,14.34152177,Urban,Madrid,2,1yr
2A069783,06.10.14,GT_AMAR_1278,0.335899688,13.41307114,Urban,Madrid,2,1yr
2A069784,06.10.14,GT_AMAR_1279,0.565681526,10.84499201,Urban,Madrid,2,2yr+
2A069784,06.10.14,GT_AMAR_1280,0.57997424,10.8406472,Urban,Madrid,2,2yr+
2A069784,06.10.14,GT_AMAR_1281,0.625827406,10.30104227,Urban,Madrid,2,2yr+
2A069784,06.10.14,GT_AMAR_1282,0.475220433,10.34336278,Urban,Madrid,2,2yr+
2A069784,06.10.14,GT_AMAR_1283,0.461143996,12.39673619,Urban,Madrid,2,2yr+
2A069784,06.10.14,GT_AMAR_1284,0.380819773,10.21339448,Urban,Madrid,2,2yr+
2A069786,07.10.14,GT_AMAR_1285,0.458617303,12.00867601,Urban,Madrid,2,1yr
2A069786,07.10.14,GT_AMAR_1286,0.435142212,12.55219437,Urban,Madrid,2,1yr
2A069786,07.10.14,GT_AMAR_1287,0.391912497,12.4802315,Urban,Madrid,2,1yr
2A069786,07.10.14,GT_AMAR_1288,0.402733019,11.33764143,Urban,Madrid,2,1yr
2A069786,07.10.14,GT_AMAR_1289,0.354956204,11.58830517,Urban,Madrid,2,1yr
2A069786,07.10.14,GT_AMAR_1290,0.286749284,12.08366271,Urban,Madrid,2,1yr
2A069789,07.10.14,GT_AMAR_1291,0.348134527,11.26641037,Urban,Madrid,2,2yr+
2A069789,07.10.14,GT_AMAR_1292,0.437024866,11.6980181,Urban,Madrid,2,2yr+
2A069789,07.10.14,GT_AMAR_1293,0.415913858,11.69681359,Urban,Madrid,2,2yr+
2A069789,07.10.14,GT_AMAR_1294,0.370388611,11.6667489,Urban,Madrid,2,2yr+
2A069789,07.10.14,GT_AMAR_1295,0.353278384,11.62677401,Urban,Madrid,2,2yr+
2A069789,07.10.14,GT_AMAR_1296,0.21738701,12.8504283,Urban,Madrid,2,2yr+
2A069792,07.10.14,GT_AMAR_1297,0.612317352,8.763297754,Urban,Madrid,1,2yr+
2A069792,07.10.14,GT_AMAR_1298,0.516065897,9.342359991,Urban,Madrid,1,2yr+
2A069792,07.10.14,GT_AMAR_1299,0.684822851,8.412224277,Urban,Madrid,1,2yr+
2A069792,07.10.14,GT_AMAR_1300,0.495634107,10.03943594,Urban,Madrid,1,2yr+
2A069792,07.10.14,GT_AMAR_1301,0.537926702,9.307178104,Urban,Madrid,1,2yr+
2A069792,07.10.14,GT_AMAR_1302,0.579403958,8.736594576,Urban,Madrid,1,2yr+
2A069793,07.10.14,GT_AMAR_1303,0.521130533,12.63679616,Urban,Madrid,2,2yr+
2A069793,07.10.14,GT_AMAR_1304,0.489505356,11.70347953,Urban,Madrid,2,2yr+
2A069793,07.10.14,GT_AMAR_1305,0.577685413,12.99512967,Urban,Madrid,2,2yr+
2A069793,07.10.14,GT_AMAR_1306,0.513208536,12.04613987,Urban,Madrid,2,2yr+
2A069793,07.10.14,GT_AMAR_1307,0.544387384,11.72071513,Urban,Madrid,2,2yr+
2A069793,07.10.14,GT_AMAR_1308,0.485692422,13.78065639,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1309,0.524737903,10.66091069,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1310,0.545253378,10.44743509,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1311,0.613617882,11.15357284,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1312,0.36130572,9.961974751,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1313,0.421217629,10.59020674,Urban,Madrid,2,2yr+
2A069796,07.10.14,GT_AMAR_1314,0.397734301,10.56248599,Urban,Madrid,2,2yr+
2A211149,27.04.14,GT_AMAR_1195,0.621686129,12.49601699,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1196,0.664119207,11.87538347,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1197,0.558802088,12.8725045,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1198,0.737467908,12.38858497,Forest,Madrid,1,2yr+
2A211149,27.04.14,GT_AMAR_1199,0.745553287,12.87834421,Forest,Madrid,1,2yr+
