id,samp_date,spectrum,YC,YB,birthnest,rearnest,habitat_origin,habitat_rearing,cross_fostered,sex
BA59,7.6.13,COL_AM_POLLOS_0001,0.434237693,9.638093104,S124,S124,Urban,Urban,0,1
BA59,7.6.13,COL_AM_POLLOS_0002,0.445379604,9.830564633,S124,S124,Urban,Urban,0,1
BA59,7.6.13,COL_AM_POLLOS_0003,0.471063891,9.203300684,S124,S124,Urban,Urban,0,1
BA59,7.6.13,COL_AM_POLLOS_0004,0.38620655,11.32595709,S124,S124,Urban,Urban,0,1
BA59,7.6.13,COL_AM_POLLOS_0005,0.491177799,9.906397452,S124,S124,Urban,Urban,0,1
BA59,7.6.13,COL_AM_POLLOS_0006,0.427273597,9.582024583,S124,S124,Urban,Urban,0,1
BA62,7.6.13,COL_AM_POLLOS_0007,0.501436743,13.69199377,V148,S124,Forest,Urban,1,1
BA62,7.6.13,COL_AM_POLLOS_0008,0.4952874,14.50708855,V148,S124,Forest,Urban,1,1
BA62,7.6.13,COL_AM_POLLOS_0009,0.56135362,12.91652017,V148,S124,Forest,Urban,1,1
BA62,7.6.13,COL_AM_POLLOS_0010,0.494227267,13.78236898,V148,S124,Forest,Urban,1,1
BA62,7.6.13,COL_AM_POLLOS_0011,0.475333923,13.46715161,V148,S124,Forest,Urban,1,1
BA62,7.6.13,COL_AM_POLLOS_0012,0.494986702,13.26073216,V148,S124,Forest,Urban,1,1
BA63,7.6.13,COL_AM_POLLOS_0013,0.516271273,12.53300664,V148,S124,Forest,Urban,1,1
BA63,7.6.13,COL_AM_POLLOS_0014,0.489087192,10.42107277,V148,S124,Forest,Urban,1,1
BA63,7.6.13,COL_AM_POLLOS_0015,0.490933012,12.29998486,V148,S124,Forest,Urban,1,1
BA63,7.6.13,COL_AM_POLLOS_0016,0.413820945,12.38128515,V148,S124,Forest,Urban,1,1
BA63,7.6.13,COL_AM_POLLOS_0017,0.475359628,11.6717047,V148,S124,Forest,Urban,1,1
BA63,7.6.13,COL_AM_POLLOS_0018,0.4942573,11.96127827,V148,S124,Forest,Urban,1,1
BA64,7.6.13,COL_AM_POLLOS_0019,0.541690471,13.4383026,S124,S124,Urban,Urban,0,2
BA64,7.6.13,COL_AM_POLLOS_0020,0.521910368,14.38546084,S124,S124,Urban,Urban,0,2
BA64,7.6.13,COL_AM_POLLOS_0021,0.42502465,12.80047779,S124,S124,Urban,Urban,0,2
BA64,7.6.13,COL_AM_POLLOS_0022,0.411211677,13.36706127,S124,S124,Urban,Urban,0,2
BA64,7.6.13,COL_AM_POLLOS_0023,0.412682196,12.95876799,S124,S124,Urban,Urban,0,2
BA64,7.6.13,COL_AM_POLLOS_0024,0.420608087,12.6980897,S124,S124,Urban,Urban,0,2
BA70,11.6.13,COL_AM_POLLOS_0025,0.540230861,13.12248859,V135,P31,Forest,Urban,1,2
BA70,11.6.13,COL_AM_POLLOS_0026,0.450258486,13.25109739,V135,P31,Forest,Urban,1,2
BA70,11.6.13,COL_AM_POLLOS_0027,0.457865395,11.35288254,V135,P31,Forest,Urban,1,2
BA70,11.6.13,COL_AM_POLLOS_0028,0.356189712,13.15293575,V135,P31,Forest,Urban,1,2
BA70,11.6.13,COL_AM_POLLOS_0029,0.378688476,13.20605183,V135,P31,Forest,Urban,1,2
BA70,11.6.13,COL_AM_POLLOS_0030,0.455136798,12.72739299,V135,P31,Forest,Urban,1,2
