ID,Label,habitat,area,sex,age,brightness,chroma
C87602,LI02,Urban,Lisbon,2,2K,14.72071245,0.168937339
C87607,LI07,Urban,Lisbon,1,2K,14.5599305,0.236994535
2KS92300,PB112,Urban,Malmo,1,2K,8.189554165,0.285322217
C87608,LI08,Urban,Lisbon,2,2K,13.8889124,0.302251722
C87609,LI09,Urban,Lisbon,1,3K+,12.812125,0.305530065
2KS91865,PB83,Urban,Malmo,1,3K+,12.543143,0.317353898
2KS91829,PB11,Urban,Malmo,2,2K,11.235488,0.323825491
2KS91836,PB40,Urban,Malmo,2,2K,13.2055781,0.33539615
LL57822,MI33,Forest,Milan,2,2K,12.8032798,0.34192296
2KS91864,PB82,Urban,Malmo,2,2K,13.0033524,0.344437226
C87628,LI28,Urban,Lisbon,1,3K+,10.6191493,0.34550114
LL57806,MI9,Forest,Milan,2,2K,13.753965,0.361891247
2KS91827,PB9,Urban,Malmo,1,3K+,12.5893115,0.365163475
C87627,LI27,Urban,Lisbon,2,2K,13.4522281,0.371483611
G16,G16,Forest,Goteborg,2,2K,16.5270462,0.377919466
2KS91863,PB81,Urban,Malmo,1,2K,12.4054297,0.393590773
LL57848,MI60,Urban,Milan,1,3K+,12.6387905,0.397523849
2KS92302,PB115,Urban,Malmo,2,2K,11.1713457,0.401356112
G11,G11,Urban,Goteborg,2,3K+,14.3289132,0.405355737
LL57844,MI56,Urban,Milan,1,3K+,10.6041871,0.411015653
C87633,LI33,Urban,Lisbon,2,2K,12.410263,0.420898665
C87621,LI21,Urban,Lisbon,2,2K,14.0599765,0.427530133
LL57839,MI51,Urban,Milan,2,3K+,11.7302316,0.437961149
C87622,LI22,Urban,Lisbon,1,2K,14.7507799,0.438493541
2KS91226,PB26,Urban,Malmo,1,2K,12.5049949,0.441010536
2KP22125,PB136,Forest,Malmo,2,2K,11.5893988,0.442287878
LL57831,MI43,Urban,Milan,1,3K+,9.03198106,0.443537555
2KS92210,PB84,Urban,Malmo,2,3K+,15.6581869,0.443690708
G9,G9,Urban,Goteborg,2,2K,13.6389018,0.452537159
2KS92264,PB190,Urban,Malmo,2,2K,11.3200642,0.461057089
LL57795,MI29,Urban,Milan,1,3K+,11.353166,0.46374672
LS47759,MI22,Forest,Milan,2,2K,10.2339561,0.467033905
C87605,LI05,Urban,Lisbon,2,3K+,13.7139907,0.469237936
2KP22124,PB135,Forest,Malmo,2,2K,11.049822,0.470556483
2KS91830,PB12,Urban,Malmo,2,3K+,12.994905,0.470564223
2KS91889,PB105,Urban,Malmo,2,2K,13.3008648,0.471586892
LL57815,MI20,Forest,Milan,2,2K,9.65589387,0.473980739
LM84359,MI3,Forest,Milan,2,3K+,9.93971047,0.475137659
2KS34222,PB25,Urban,Malmo,2,3K+,12.013956,0.47531237
2KR97143,PB131,Forest,Malmo,1,2K,11.2232132,0.475344916
2KS91261,PB303,Urban,Malmo,1,2K,12.3930936,0.467637525
2KP22107,PB28,Forest,Malmo,1,3K+,11.932251,0.479560091
2KN81898,PB74,Urban,Malmo,2,3K+,13.8575367,0.479665602
2KS91303,PB69,Urban,Malmo,1,3K+,15.4261402,0.481677039
2KP22112,PB54,Forest,Malmo,1,3K+,13.3474974,0.483041562
G10,G10,Urban,Goteborg,1,3K+,12.8430011,0.488720224
2KS91242,PB185,Urban,Malmo,1,2K,11.51249935,0.49678756
2KP22115,PB91,Forest,Malmo,1,2K,11.3071992,0.491658842
2KS91258,PB114,Urban,Malmo,1,2K,13.1932292,0.492242769
2KR97241,PB140,Forest,Malmo,2,3K+,11.0630284,0.494550763
LL57807,MI11,Forest,Milan,1,2K,12.9922216,0.494577391
C87618,LI18,Urban,Lisbon,1,3K+,12.1674758,0.495929559
2KP22138,PB152,Forest,Malmo,2,3K+,10.5713146,0.498766691
2KS70836,PB23,Urban,Malmo,1,3K+,11.6622416,0.500378611
G3,G3,Urban,Goteborg,1,2K,16.0735436,0.500677893
2KR97491,PB49,Forest,Malmo,2,3K+,12.8801248,0.502194028
2KP22111,PB53,Forest,Malmo,2,3K+,15.0855242,0.508140001
2KS26038,PB127,Forest,Malmo,2,3K+,12.880349,0.509387576
2KS91899,PB111,Urban,Malmo,1,3K+,15.2516229,0.511559408
2KS91221,PB18,Urban,Malmo,1,2K,16.0696869,0.511812043
G4,G4,Urban,Goteborg,2,2K,13.5339759,0.512569825
2A211189,2A211189,Forest,Madrid,2,2K,14.63436235,0.567003536
2KS91844,PB61,Urban,Malmo,2,3K+,14.0538275,0.514252822
2KS34248,PB76,Urban,Malmo,2,3K+,11.4477109,0.517780212
C87611,LI11,Urban,Lisbon,2,3K+,11.7576665,0.519627695
2A395636,2A395636,Forest,Madrid,1,3K+,10.9525636,0.519942658
LL57843,MI55,Urban,Milan,2,2K,12.0290261,0.520864298
LL57834,MI46,Urban,Milan,1,3K+,11.9221071,0.522928948
2KS91834,PB24,Urban,Malmo,2,3K+,12.3256506,0.52537924
2KS91301,PB19,Urban,Malmo,1,3K+,15.8781512,0.527443907
2A211188,2A211188,Forest,Madrid,1,2K,14.277686,0.529426176
2KP22119,PB128,Forest,Malmo,2,2K,11.4400332,0.529989198
LL57830,MI42,Urban,Milan,2,2K,11.7538114,0.53105763
2KP22146,PB164,Forest,Malmo,2,2K,9.122462995,0.591086567
LL57811,MI16,Forest,Milan,2,2K,11.0941198,0.534717627
2KS91843,PB60,Urban,Malmo,1,3K+,13.5339476,0.538980543
2KS26381,PB52,Forest,Malmo,1,2K,14.7802473,0.539195378
2KP22167,PB204,Forest,Malmo,2,2K,11.41566285,0.512686211
2A211161,2A211161,Forest,Madrid,1,2K,11.650561,0.540874532
2KS91835,PB27,Urban,Malmo,2,2K,11.10446,0.544975108
2KS91856,PB75,Urban,Malmo,1,3K+,11.4925692,0.54648016
2KR97409,PB93,Forest,Malmo,2,3K+,11.7453907,0.546840223
2KS70756,PB15,Urban,Malmo,2,3K+,12.9863511,0.547307741
2KR97135,PB126,Forest,Malmo,1,2K,12.3349763,0.549570303
LL57817,MI23,Forest,Milan,1,3K+,11.9800074,0.549654551
2KS91898,PB110,Urban,Malmo,2,3K+,13.4808491,0.555818476
LL57813,MI18,Forest,Milan,1,3K+,10.4540219,0.557102896
G1,G1,Urban,Goteborg,1,3K+,14.4398093,0.558479899
2KR97230,PB55,Forest,Malmo,1,3K+,15.3238922,0.558539215
2KS91826,PB8,Urban,Malmo,1,3K+,12.7560992,0.558850666
G18,G18,Forest,Goteborg,2,2K,13.9292058,0.560346715
C87620,LI20,Urban,Lisbon,1,3K+,12.4410224,0.561609619
2KS26036,PB94,Forest,Malmo,1,3K+,12.6179054,0.561773181
G2,G2,Urban,Goteborg,2,3K+,11.4746483,0.562827379
LL57802,MI5,Forest,Milan,1,2K,12.4165335,0.565787372
G19,G19,Forest,Goteborg,1,2K,16.5879167,0.566728534
2KP22117,PB95,Forest,Malmo,2,2K,10.1768818,0.568793143
LL57814,MI19,Forest,Milan,1,3K+,12.1661844,0.569064225
C87635,LI35,Forest,Lisbon,2,2K,12.1894177,0.551217087
G14,G14,Forest,Goteborg,2,2K,15.2784908,0.578583534
2KP22116,PB92,Forest,Malmo,2,2K,11.3832753,0.582082895
LH39343,MI10,Forest,Milan,1,3K+,11.3769251,0.582288986
2KS91832,PB16,Urban,Malmo,2,3K+,14.0789563,0.582715144
G8,G8,Urban,Goteborg,2,3K+,12.9235015,0.584762352
LL57812,MI17,Forest,Milan,1,3K+,11.1599126,0.584817787
2KP22120,PB129,Forest,Malmo,1,3K+,12.8696767,0.584854107
G17,G17,Forest,Goteborg,1,2K,15.1353692,0.585155434
2KS91828,PB10,Urban,Malmo,2,2K,9.42464807,0.585298465
2A211162,2A211162,Forest,Madrid,2,2K,12.7985777,0.585632179
G6,G6,Urban,Goteborg,2,2K,10.4335885,0.587294221
LL57801,MI4,Forest,Milan,1,3K+,13.0630832,0.588806187
2KR97424,PB165,Forest,Malmo,1,2K,14.7691383,0.523341463
2KS91831,PB13,Urban,Malmo,1,3K+,19.0336073,0.593059468
2A211156,2A211156,Forest,Madrid,2,2K,13.9508064,0.630324157
2KP22170,PB207,Forest,Malmo,2,2K,10.73945235,0.639731406
2KR97493,PB139,Forest,Malmo,1,3K+,16.1275081,0.598170783
C87640,LI40,Forest,Lisbon,1,3K+,17.1543277,0.59876258
G13,G13,Forest,Goteborg,1,3K+,12.7143565,0.598764602
G20,G20,Forest,Goteborg,1,2K,12.622638,0.598917159
LL57836,MI48,Urban,Milan,1,3K+,12.8535378,0.599436852
2KS34225,PB14,Urban,Malmo,1,3K+,15.1368871,0.599865082
2A211150,2A211150,Forest,Madrid,1,3K+,10.6546521,0.600150386
2KR97221,PB153,Forest,Malmo,1,3K+,13.1689267,0.60029369
LS47764,MI2,Forest,Milan,1,3K+,10.3107955,0.601734869
C87613,LI13,Urban,Lisbon,1,3K+,14.8037766,0.602839893
2KR97419,PB158,Forest,Malmo,1,3K+,11.9353248,0.607933365
C87610,LI10,Urban,Lisbon,1,3K+,14.4861387,0.606494817
2KS91840,PB45,Urban,Malmo,2,2K,17.6827971,0.607244855
2KP22174,PB212,Forest,Malmo,2,2K,13.27019095,0.587528347
LL57846,MI58,Urban,Milan,2,3K+,13.9331294,0.610995154
2KS92329,PB184,Urban,Malmo,2,3K+,11.4617514,0.633085876
G15,G15,Forest,Goteborg,2,2K,14.2095013,0.615144992
LL57809,MI14,Forest,Milan,2,2K,14.5039379,0.61671129
LL57840,MI52,Urban,Milan,2,2K,11.0091563,0.617127412
2KP22109,PB31,Forest,Malmo,2,3K+,16.0764279,0.620137632
2KR97093,PB48,Forest,Malmo,1,3K+,11.5610998,0.621321205
LL57842,MI54,Urban,Milan,1,3K+,10.3675573,0.623301093
C87659,LI59,Forest,Lisbon,1,3K+,11.5497443,0.623858405
C87638,LI38,Forest,Lisbon,1,3K+,13.5887114,0.624069858
2KP22113,PB89,Forest,Malmo,2,3K+,11.3532757,0.626846136
2KP22142,PB159,Forest,Malmo,1,2K,10.98683215,0.602872211
C87646,LI46,Forest,Lisbon,1,2K,12.0559567,0.634459177
LL57825,MI37,Urban,Milan,1,3K+,12.4007479,0.635003597
2KP22114,PB90,Forest,Malmo,2,3K+,12.633504,0.639566953
2KR97540,PB154,Forest,Malmo,1,2K,10.9687994,0.654910705
2KS92392,PB304,Urban,Malmo,2,2K,8.453743115,0.697726305
LL57824,MI35,Forest,Milan,2,2K,9.15529433,0.646845944
2KP22172,PB210,Forest,Malmo,1,2K,8.96960244,0.644678635
LL57823,MI34,Forest,Milan,2,2K,9.91404416,0.655108921
2A211155,2A211155,Forest,Madrid,2,2K,12.0258519,0.655419661
2A430831,2A430831,Forest,Madrid,2,2K,10.8164203,0.671258458
2A395635,2A395635,Forest,Madrid,1,2K,17.0334434,0.662889149
2A395620,2A395620,Forest,Madrid,1,2K,13.5117386,0.664590325
2KR97334,PB295,Forest,Malmo,1,3K+,11.3391773,0.678773614
2A211149,2A211149,Forest,Madrid,1,3K+,12.4694233,0.669760449
G7,G7,Urban,Goteborg,1,3K+,19.8008772,0.670118633
2KP22173,PB211,Forest,Malmo,2,3K+,12.32836745,0.659755496
G5,G5,Urban,Goteborg,2,2K,12.4337697,0.673113152
C87603,LI03,Urban,Lisbon,1,3K+,13.5072899,0.68474644
C87601,LI01,Urban,Lisbon,1,3K+,16.95591,0.686817919
C87642,LI42,Forest,Lisbon,1,3K+,13.7144748,0.687152223
G21,G21,Forest,Goteborg,1,3K+,12.9562121,0.687371071
LL57785,MI28,Urban,Milan,2,3K+,13.5254103,0.688892983
2A211157,2A211157,Forest,Madrid,2,2K,9.46206993,0.691908913
LL57838,MI50,Urban,Milan,2,2K,13.1355226,0.695378741
C87643,LI43,Forest,Lisbon,1,3K+,10.3866868,0.696534596
2A368605,2A368605,Forest,Madrid,2,2K,13.657624,0.705096416
2A395638,2A395638,Forest,Madrid,2,3K+,11.8775698,0.705121459
2KP22258,PB301,Urban,Malmo,1,3K+,13.3655983,0.68978291
2KS92393,PB306,Urban,Malmo,1,3K+,14.10476155,0.771944797
2KR97487,PB203,Forest,Malmo,1,2K,11.7830336,0.655679583
C87667,LI67,Forest,Lisbon,2,2K,10.4888101,0.716506606
LL57779,MI27,Urban,Milan,2,2K,11.3005995,0.7166569
C87629,LI29,Urban,Lisbon,1,3K+,10.9499698,0.717737323
C87637,LI37,Forest,Lisbon,2,2K,14.4178314,0.719557617
2A211152,2A211152,Forest,Madrid,2,2K,12.57121,0.725595642
C87664,LI64,Forest,Lisbon,1,3K+,13.3391819,0.726922402
G22,G22,Forest,Goteborg,2,3K+,15.4570434,0.72919339
2A395634,2A395634,Forest,Madrid,2,2K,15.5654057,0.729765376
2A256634,2A256634,Forest,Madrid,1,3K+,16.1418246,0.729970888
2KR97319,PB280,Forest,Malmo,1,3K+,11.3787585,0.707345009
2A211169,2A211169,Forest,Madrid,1,2K,17.0257278,0.726216609
C87657,LI57,Forest,Lisbon,2,3K+,12.1777468,0.747878451
C87660,LI60,Forest,Lisbon,1,3K+,12.6394194,0.750568933
C87639,LI39,Forest,Lisbon,1,3K+,15.9852152,0.762361227
G12,G12,Forest,Goteborg,2,3K+,12.6104931,0.793865162
C87668,LI68,Forest,Lisbon,2,3K+,13.3780324,0.828279948
C87663,LI63,Forest,Lisbon,1,2K,15.2763895,0.752427779
C87658,LI58,Forest,Lisbon,1,3K+,13.18310565,0.78014359
2A211194,2A211194,Forest,Madrid,1,2K,14.4263191,0.844660051
2A431193,M6,Urban,Madrid,1,3K+,14.6170356,0.484470822
2A069779,MD10,Urban,Madrid,2,3K+,10.6155893,0.541431863
2A069772,MD3,Urban,Madrid,1,2K,12.992737,0.529729226
2A431192,M5,Urban,Madrid,1,3K+,13.54868735,0.686334566
2A069796,MD27,Urban,Madrid,2,3K+,10.5627644,0.477311136
2A069784,MD15,Urban,Madrid,2,3K+,10.8233625,0.514777896
2A069786,MD17,Urban,Madrid,2,2K,12.0084519,0.388351753
2A431492,MD29,Urban,Madrid,1,3K+,14.5597442,0.523008073
2A069793,MD24,Urban,Madrid,2,3K+,12.4804861,0.521934941
2A069783,MD14,Urban,Madrid,2,2K,13.3769855,0.285287
2A431194,M7,Urban,Madrid,1,3K+,13.4429302,0.36917718
2A069789,MD20,Urban,Madrid,2,3K+,11.8008655,0.357021209
2A069775,MD6,Urban,Madrid,1,3K+,11.8746067,0.433246368
2A069780,MD11,Urban,Madrid,1,3K+,11.0293302,0.417449007
2A069792,MD23,Urban,Madrid,1,3K+,9.10018177,0.571028478
2A369175,M8,Urban,Madrid,1,3K+,17.1880499,0.484246044
2KR97645,BP36,Forest,Malmo,2,2K,15.0855242,0.508140001
2KR97235,BP38,Forest,Malmo,1,3K+,10.568707,0.5669964
2KS91204,PB2,Urban,Malmo,1,3K+,14.658179,0.58854967
