ID,Date,nest,habitat,fledging_survival,sex,age,age2,cross_fostered,birthnest,rearnest,brightness,chroma
2KS91307,07/06/2013,S124,Urban,1,1,Pull,Pull,0,S124,S124,9.914389591,0.442556522
2KS91310,07/06/2013,S124,Urban,1,1,Pull,Pull,1,V148,S124,13.60430921,0.503770943
2KS91311,07/06/2013,S124,Urban,1,1,Pull,Pull,1,V148,S124,11.8780554,0.479954892
2KS91312,07/06/2013,S124,Urban,1,2,Pull,Pull,0,S124,S124,13.27469337,0.455521242
2KS91320,11/06/2013,P31,Urban,0,1,Pull,Pull,0,P31,P31,10.17636787,0.392324043
2KS91318,11/06/2013,P31,Urban,1,2,Pull,Pull,1,V135,P31,12.80214152,0.439728288
2KS91319,11/06/2013,P31,Urban,1,1,Pull,Pull,0,P31,P31,9.562905627,0.413172383
2KS91321,11/06/2013,P31,Urban,1,1,Pull,Pull,0,P31,P31,8.602559478,0.477741741
2KS91325,11/06/2013,P138,Urban,1,2,Pull,Pull,0,P138,P138,9.190370413,0.499369662
2KS91328,11/06/2013,P138,Urban,1,2,Pull,Pull,1,V374,P138,9.891938858,0.49993276
2KS91329,11/06/2013,P138,Urban,1,2,Pull,Pull,0,P138,P138,11.57151083,0.436018807
2KS91330,11/06/2013,P138,Urban,1,2,Pull,Pull,1,V374,P138,9.562189378,0.470630041
2KS91339,14/06/2013,P67,Urban,0,2,Pull,Pull,1,V381,P67,11.46069739,0.412362827
2KS91338,14/06/2013,P67,Urban,1,1,Pull,Pull,0,P67,P67,10.36154533,0.312830901
2KS91277,05/06/2013,P55,Urban,1,1,Pull,Pull,0,P55,P55,14.21373686,0.508956233
2KS91278,05/06/2013,P55,Urban,1,2,Pull,Pull,1,V153,P55,11.1436591,0.576399858
2KS91279,05/06/2013,P55,Urban,1,1,Pull,Pull,1,V153,P55,9.348610176,0.6279045
2KS91280,05/06/2013,P55,Urban,1,2,Pull,Pull,0,P55,P55,10.10333991,0.44401035
2KR97103,05/06/2013,V153,Forest,1,2,Pull,Pull,0,V153,V153,9.261128277,0.558118339
2KR97104,05/06/2013,V153,Forest,1,2,Pull,Pull,1,P55,V153,8.215860192,0.511527662
2KR97107,05/06/2013,V153,Forest,1,2,Pull,Pull,1,P55,V153,11.0291616,0.457089786
2KR97108,05/06/2013,V153,Forest,1,2,Pull,Pull,0,V153,V153,9.242141048,0.518980857
2KR97716,07/06/2013,V148,Forest,1,2,Pull,Pull,0,V148,V148,12.15248819,0.556626902
2KR97717,07/06/2013,V148,Forest,1,1,Pull,Pull,1,S124,V148,11.85678251,0.614312027
2KR97718,07/06/2013,V148,Forest,1,1,Pull,Pull,1,S124,V148,9.680612616,0.596433006
2KR97720,07/06/2013,V148,Forest,1,1,Pull,Pull,0,V148,V148,11.264376,0.553134409
2KR97781,11/06/2013,V374,Forest,1,1,Pull,Pull,1,P138,V374,8.871731184,0.42856779
2KR97782,11/06/2013,V374,Forest,1,2,Pull,Pull,0,V374,V374,10.45110619,0.347007091
2KR97784,11/06/2013,V374,Forest,1,1,Pull,Pull,0,V374,V374,11.04290974,0.323102788
2KR97786,11/06/2013,V374,Forest,1,2,Pull,Pull,1,P138,V374,8.533965159,0.338374372
2KR97795,11/06/2013,V135,Forest,1,2,Pull,Pull,1,P31,V135,8.108314416,0.34647469
2KR97796,11/06/2013,V135,Forest,1,2,Pull,Pull,0,V135,V135,9.566884648,0.348164235
2KR97797,11/06/2013,V135,Forest,1,1,Pull,Pull,1,P31,V135,8.361735333,0.374383882
2KR97798,11/06/2013,V135,Forest,1,2,Pull,Pull,0,V135,V135,8.777281529,0.420775177
2KS92230,12/06/2013,P48,Urban,1,1,Pull,Pull,0,P48,P48,8.350743948,0.42613774
2KS92231,12/06/2013,P48,Urban,1,2,Pull,Pull,1,VP140,P48,10.20968725,0.393781951
2KS92228,12/06/2013,P9,Urban,1,1,Pull,Pull,0,P9,P9,9.168944054,0.401447291
2KS92229,12/06/2013,P9,Urban,1,1,Pull,Pull,1,V219,P9,9.481048775,0.34508393
2KS92246,12/06/2013,P148,Urban,0,1,Pull,Pull,0,P148,P148,7.896481904,0.466665933
2KS92245,12/06/2013,P148,Urban,1,1,Pull,Pull,1,V33,P148,7.347468388,0.442829892
2KS92247,12/06/2013,P148,Urban,1,2,Pull,Pull,1,V33,P148,9.073328674,0.468522439
2KS92248,12/06/2013,P148,Urban,1,2,Pull,Pull,0,P148,P148,9.724435917,0.421948531
2KS92232,12/06/2013,P23,Urban,1,2,Pull,Pull,0,P23,P23,10.28755276,0.493453677
2KS92233,12/06/2013,P23,Urban,1,1,Pull,Pull,0,P23,P23,10.17549732,0.44644317
2KS92234,12/06/2013,P23,Urban,1,1,Pull,Pull,1,V15,P23,11.40534826,0.439220217
2KS92236,12/06/2013,P23,Urban,1,2,Pull,Pull,1,V15,P23,8.459882781,0.501793876
2KS92251,13/06/2013,S8,Urban,0,1,Pull,Pull,0,S8,S8,8.470922808,0.414582533
2KS92252,13/06/2013,S8,Urban,0,2,Pull,Pull,1,V238,S8,10.08185318,0.381457113
2KR97617,13/06/2013,V238,Forest,1,1,Pull,Pull,0,V238,V238,9.359661374,0.414687448
2KR97618,13/06/2013,V238,Forest,1,2,Pull,Pull,1,S8,V238,10.06441509,0.471549979
2KR97619,13/06/2013,V238,Forest,1,2,Pull,Pull,1,S8,V238,10.06441509,0.471549979
2KR97620,13/06/2013,V238,Forest,1,1,Pull,Pull,1,S8,V238,10.21861003,0.444596137
2KR97621,13/06/2013,V238,Forest,1,1,Pull,Pull,0,V238,V238,9.798985202,0.456181097
2KR97109,12/06/2013,V303,Forest,1,2,Pull,Pull,1,P148,V33,12.50806864,0.464811769
2KR97110,12/06/2013,V303,Forest,1,2,Pull,Pull,0,V33,V33,10.48397704,0.462419602
2KR97111,12/06/2013,V303,Forest,1,1,Pull,Pull,0,V33,V33,9.736869422,0.415763976
2KR97114,12/06/2013,V303,Forest,1,1,Pull,Pull,1,P148,V33,10.01633671,0.451690892
2KR97124,12/06/2013,V140,Forest,1,1,Pull,Pull,0,V14,V14,10.69178251,0.322476684
2KR97125,12/06/2013,V140,Forest,1,2,Pull,Pull,0,V14,V140,11.12455951,0.364338291
2KR97127,12/06/2013,V140,Forest,1,1,Pull,Pull,1,P48,V140,12.34722719,0.358059155
2KR97128,12/06/2013,V140,Forest,1,2,Pull,Pull,1,P48,V140,10.84931567,0.363376978
2KR97147,12/06/2013,V219,Forest,1,2,Pull,Pull,0,V219,V219,11.28610022,0.430587926
2KR97148,12/06/2013,V219,Forest,1,2,Pull,Pull,1,P9,V219,10.47805501,0.400960777
2KR97149,12/06/2013,V219,Forest,1,1,Pull,Pull,0,V219,V219,11.69266753,0.385451004
2KR97150,12/06/2013,V219,Forest,1,1,Pull,Pull,1,P9,V219,12.4092535,0.359607075
2KR97153,12/06/2013,V15,Forest,1,1,Pull,Pull,0,V15,V15,11.26831111,0.376831621
2KR97154,12/06/2013,V15,Forest,1,1,Pull,Pull,1,P23,V15,12.00275577,0.277369369
2KR97155,12/06/2013,V15,Forest,1,2,Pull,Pull,0,V15,V15,9.910830226,0.392636341
2KR97159,12/06/2013,V15,Forest,1,1,Pull,Pull,1,P23,V15,10.25251625,0.36235845
2KR97517,14/06/2013,V381,Forest,1,1,Pull,Pull,1,P67,V381,12.53995003,0.364004729
2KR97520,14/06/2013,V381,Forest,1,2,Pull,Pull,1,P67,V381,9.198013554,0.393511117
2KR97521,14/06/2013,V381,Forest,1,2,Pull,Pull,0,V381,V381,10.51360355,0.344936678
2KR97524,14/06/2013,V381,Forest,1,1,Pull,Pull,0,V381,V381,8.609129268,0.419376534
2KR97645,20/05/2014,V46,Forest,1,2,2K,2K,0,,,15.0855242,0.508140001
2KR97235,20/05/2014,V148,Forest,1,1,3K+,2K,0,,,10.99909841,0.5669964
2KS91889,24/05/2014,P134,Urban,1,2,2K,2K,0,,,13.30086478,0.471586892
2KS91829,15/05/2014,R5,Urban,1,2,2K,2K,0,,,11.23548798,0.323825491
2KS91898,25/05/2014,RS17,Urban,1,2,3K+,2K,0,,,13.48084912,0.555818476
2KS92300,25/05/2014,R27,Urban,1,1,2K,2K,0,,,8.189554168,0.300593663
2KS91258,25/05/2014,K28,Urban,1,1,2K,2K,0,,,13.19322921,0.492242769
2KS92302,25/05/2014,K28,Urban,1,2,2K,2K,0,,,11.17134571,0.401356112
2KS91830,16/05/2014,S12,Urban,1,2,3K+,2K,0,,,12.99490501,0.470564223
2KR97135,25/05/2014,V150,Forest,1,1,2K,2K,0,,,12.33497625,0.549570303
2KS26038,25/05/2014,V184,Forest,1,2,3K+,2K,0,,,12.88034898,0.509387576
2KP22119,25/05/2014,V152,Forest,1,2,2K,2K,0,,,11.44003316,0.529989198
2KP22120,25/05/2014,V141,Forest,1,1,3K+,2K,0,,,12.86967671,0.503433832
2KR97143,26/05/2014,V6,Forest,1,1,2K,2K,0,,,11.22321324,0.475344916
2KP22124,26/05/2014,V334,Forest,1,2,2K,2K,0,,,11.04982203,0.512865555
2KP22125,26/05/2014,V337,Forest,1,2,2K,2K,0,,,11.58939879,0.442287878
2KR97493,26/05/2014,V207,Forest,1,1,3K+,3K+,0,,,15.68856565,0.598170783
2KS34225,16/05/2014,P12,Urban,1,1,3K+,3K+,0,,,14.94085102,0.599865082
2KR97241,26/05/2014,V207,Forest,1,2,3K+,3K+,0,,,11.06302837,0.494550763
2KS70756,16/05/2014,P12,Urban,1,2,3K+,3K+,0,,,12.5798307,0.547307741
2KP22138,27/05/2014,V27,Forest,1,2,3K+,3K+,0,,,10.57131458,0.498766691
2KR97221,27/05/2014,V134,Forest,1,1,3K+,2K,0,,,13.16892666,0.60029369
2KR97540,27/05/2014,V27,Forest,1,1,2K,2K,0,,,10.96879941,0.654910705
2KR97419,27/05/2014,V32,Forest,1,1,3K+,2K,0,,,11.93532483,0.607933365
2KP22142,27/05/2014,V113,Forest,1,1,2K,2K,0,,,10.98683217,0.602872211
2KP22146,27/05/2014,V50,Forest,1,2,2K,2K,0,,,9.122462991,0.591086567
2KR97424,27/05/2014,V50,Forest,1,1,2K,2K,0,,,14.53979828,0.507570206
2KS91221,17/05/2014,S12,Urban,1,1,2K,2K,0,,,16.06968693,0.511812043
2KS92329,28/05/2014,P96,Urban,1,2,3K+,2K,0,,,11.46175143,0.633085877
2KS91242,28/05/2014,P26,Urban,1,1,2K,2K,0,,,11.51249939,0.513123199
