,Reference,area,disturbance,sqrt_inv_eff_ss,sample_size,type,obsID,plumage_trait,life_stage,COR_std,COR_std_sv
1,Eeva et al 2012,Turku,pollution,0.359397644,31,means,1,carotenoid,adults,0.083933373,0.033871138
2,Isaksson et al 2007,Goteborg,urbanisation,0.351188458,37,means,3,carotenoid,adults,0.075987433,0.028156489
3,Isaksson et al 2007,Goteborg,urbanisation,0.271627118,56,means,4,carotenoid,adults,0.06938522,0.018294915
4,Isaksson et al 2007,Goteborg,urbanisation,0.271627118,56,means,5,carotenoid,adults,0.059882067,0.018351805
5,Geens et al 2009,Antwerp,pollution,0.348315273,33,means,6,Brightness,adults,-0.004611348,0.032256329
6,Geens et al 2009,Antwerp,pollution,0.55634864,13,means,7,Brightness,adults,0.078721106,0.08946485
7,Geens et al 2009,Antwerp,pollution,0.449466575,20,means,8,Brightness,adults,0.031026151,0.055419292
8,Grunst et al 2020b,Antwerp,pollution,0.14209964,210,means,9,Brightness,adults,0.04585136,0.004782418
9,Dauwe & Eens 2008,Antwerp,pollution,0.354107116,40,means,10,chroma,adults,-0.397264177,0.017118493
10,Dauwe & Eens 2008,Antwerp,pollution,0.354107116,40,means,11,chroma,adults,-0.393688682,0.017261552
11,Geens et al 2009,Antwerp,pollution,0.348315273,33,means,12,chroma,adults,-0.446048975,0.018514972
12,Grunst et al 2020b,Antwerp,pollution,0.14209964,210,means,13,chroma,adults,-0.032764379,0.004794776
13,Hõrak et al 2001,Tartu,urbanisation,0.113455755,332,means,14,chroma,adults,-0.125960215,0.002911486
14,Isaksson et al 2005,Goteborg,urbanisation,0.384212243,31,means,15,chroma,adults,-0.542353641,0.014490485
15,Isaksson et al 2007,Goteborg,urbanisation,0.269981528,57,means,16,chroma,adults,-0.097510866,0.017749924
16,Dauwe & Eens 2008,Antwerp,pollution,0.354107116,40,means,17,hue,adults,-0.474251688,0.013942625
17,Dauwe & Eens 2008,Antwerp,pollution,0.468807231,20,means,18,hue,adults,-0.489790314,0.027862747
18,Dauwe & Eens 2008,Antwerp,pollution,0.559016994,20,means,19,hue,adults,-0.431981537,0.032983493
19,Geens et al 2009,Antwerp,pollution,0.348315273,33,means,20,hue,adults,-0.40924558,0.020371904
20,Geens et al 2009,Antwerp,pollution,0.55634864,13,means,21,hue,adults,-0.44067175,0.052416429
21,Geens et al 2009,Antwerp,pollution,0.449466575,20,means,22,hue,adults,-0.399392851,0.035802201
22,Grunst et al 2020b,Antwerp,pollution,0.14209964,210,means,23,hue,adults,0.114811596,0.00465063
23,Hõrak et al 2001,Tartu,urbanisation,0.113455755,332,means,24,hue,adults,-0.233764766,0.002633724
24,Hõrak et al 2004,Tartu,urbanisation,0.493548117,19,means,25,hue,adults,-0.490159853,0.029445398
25,Isaksson et al 2007,Goteborg,urbanisation,0.269981528,57,means,26,hue,adults,-0.216211636,0.016121921
26,Grunst et al 2020b,Antwerp,pollution,0.14209964,210,means,27,UVchroma,adults,-0.170668385,0.00446507
27,Isaksson et al 2007,Goteborg,urbanisation,0.269981528,57,means,28,NA,adults,-0.160306395,0.0170298
28,Isaksson et al 2006,Goteborg,urbanisation,0.24640269,68,means,29,chroma,adults,-0.178270443,0.013971438
29,This study,Malmö,urbanisation,0.219544455,83,means,30,chroma,adults,-0.331148818,0.009236974
30,This study,Lisbon,urbanisation,0.343592135,34,means,31,chroma,adults,-0.690290424,0.006403679
31,This study,Madrid,urbanisation,0.335410197,36,means,32,chroma,adults,-0.726919603,0.004716843
32,This study,Milan,urbanisation,0.343592135,34,means,33,chroma,adults,0.106624712,0.030359652
33,This study,Goteborg,urbanisation,0.426401433,22,means,34,chroma,adults,-0.325099055,0.037684223
34,This study,Malmö,urbanisation,0.219544455,83,means,35,chroma,adults,0.202904415,0.011110785
35,This study,Lisbon,urbanisation,0.343592135,34,means,36,chroma,adults,0.060172234,0.030964648
36,This study,Madrid,urbanisation,0.335410197,36,means,37,chroma,adults,-0.193774651,0.026704577
37,This study,Milan,urbanisation,0.343592135,34,means,38,chroma,adults,0.108387017,0.030330262
38,This study,Goteborg,urbanisation,0.426401433,22,means,39,chroma,adults,-0.150094692,0.047185495
39,Isaksson et al 2006,Goteborg,urbanisation,0.24640269,68,means,40,UVchroma,adults,0.370530328,0.010479851
40,Isaksson et al 2006,Goteborg,urbanisation,0.24640269,68,means,41,NA,adults,0.271163165,0.01251307
41,Isaksson et al 2006,Goteborg,urbanisation,0.24640269,68,means,42,NA,adults,-0.041833907,0.015084929
42,Sillanpää et al 2008,Turku,pollution,0.265024707,59,means,43,carotenoid,nestlings,-0.001752523,0.017543724
43,Sillanpää et al 2008,Turku,pollution,0.271627118,56,means,44,carotenoid,nestlings,0,0.018518519
44,Eeva et al 2012,Turku,pollution,0.205298061,95,means,45,carotenoid,nestlings,-0.029087772,0.010729863
45,Ruiz et al 2016,Turku,pollution,0.345395781,34,means,46,carotenoid,nestlings,-0.477607959,0.016370696
46,Ruiz et al 2017,Turku,pollution,0.303573488,47,means,47,carotenoid,nestlings,-0.308010709,0.017305416
47,Ruiz et al 2016,Turku,pollution,0.365148372,30,means,48,carotenoid,nestlings,-0.185816438,0.032677556
48,Ruiz et al 2016,Turku,pollution,0.359397644,31,means,49,carotenoid,nestlings,-0.022472327,0.03443868
49,Ruiz et al 2017,Turku,pollution,0.387298335,27,means,50,carotenoid,nestlings,-0.017488251,0.039968971
