city,latitude,longitude,area,feather
Barcelona,41.39,2.19,Urban,no
Glasgow,55.88,-4.26,Urban,no
Gothenburg,57.073333,11.94,Urban,si
Lisbon,38.74,-9.18,Urban,si
Madrid,40.44,-3.73,Urban,si
Malmo,55.6,12.99,Urban,si
Milan,45.53,9.21,Urban,si
Munich,48.13,11.57,Urban,no
Paris,48.87,2.18,Urban,no
Barcelona,41.7,2.36,Rural,no
Glasgow,56.12,-4.59,Rural,no
Gothenburg,57.5,12.01,Rural,si
Lisbon,38.86,-8.83,Rural,si
Madrid,40.57,-4.16,Rural,si
Malmo,55.65,13.57,Rural,si
Milan,45.82,9.29,Rural,si
Munich,47.97,11.24,Rural,no
Paris,48.3,2.66,Rural,no
