measure,pack,id,samp_date,spectrum,meas date,feather_num,YB,YH,YC,id2,rep,ok,habitat,area,sex,age
1,1,PB154,27.05.14,GT_AMAR_0001,27.03.21,4,11.40096543,498,0.631534347,PB154_1,1,1,Forest,Malmo,1,2K
1,1,PB154,27.05.14,GT_AMAR_0002,27.03.21,4,10.52026827,493,0.667001513,PB154_1,1,1,Forest,Malmo,1,2K
1,1,PB154,27.05.14,GT_AMAR_0003,27.03.21,4,10.54001078,498,0.69523633,PB154_1,1,1,Forest,Malmo,1,2K
1,2,PB154,27.05.14,GT_AMAR_0004,27.03.21,4,11.70209715,493,0.651567197,PB154_1,1,1,Forest,Malmo,1,2K
1,2,PB154,27.05.14,GT_AMAR_0005,27.03.21,4,10.98709479,493,0.604988356,PB154_1,1,1,Forest,Malmo,1,2K
1,2,PB154,27.05.14,GT_AMAR_0006,27.03.21,4,10.71382438,493,0.590985586,PB154_1,1,1,Forest,Malmo,1,2K
1,1,PB158,27.05.14,GT_AMAR_0007,27.03.21,4,11.31657342,498,0.655406271,PB158_1,1,1,Forest,Malmo,1,3K+
1,1,PB158,27.05.14,GT_AMAR_0008,27.03.21,4,11.83428511,498,0.634660877,PB158_1,1,1,Forest,Malmo,1,3K+
1,1,PB158,27.05.14,GT_AMAR_0009,27.03.21,4,12.57084109,493,0.608541332,PB158_1,1,1,Forest,Malmo,1,3K+
1,2,PB158,27.05.14,GT_AMAR_0010,27.03.21,4,10.96715371,493,0.512913274,PB158_1,1,1,Forest,Malmo,1,3K+
1,2,PB158,27.05.14,GT_AMAR_0011,27.03.21,4,11.8399228,498,0.632491052,PB158_1,1,1,Forest,Malmo,1,3K+
1,2,PB158,27.05.14,GT_AMAR_0012,27.03.21,4,10.77739262,493,0.59202921,PB158_1,1,1,Forest,Malmo,1,3K+
1,1,PB159,27.05.14,GT_AMAR_0013,27.03.21,4,10.62339391,493,0.681567007,PB159_1,1,1,Forest,Malmo,1,2K
1,1,PB159,27.05.14,GT_AMAR_0014,27.03.21,4,10.72134096,493,0.596984315,PB159_1,1,1,Forest,Malmo,1,2K
1,1,PB159,27.05.14,GT_AMAR_0015,27.03.21,4,10.6944361,493,0.590862902,PB159_1,1,1,Forest,Malmo,1,2K
1,2,PB159,27.05.14,GT_AMAR_0016,27.03.21,4,10.64832163,493,0.596666481,PB159_1,1,1,Forest,Malmo,1,2K
1,2,PB159,27.05.14,GT_AMAR_0017,27.03.21,4,11.3095071,498,0.644976059,PB159_1,1,1,Forest,Malmo,1,2K
1,2,PB159,27.05.14,GT_AMAR_0018,27.03.21,4,11.10076981,493,0.652602198,PB159_1,1,1,Forest,Malmo,1,2K
1,1,PB164,27.05.14,GT_AMAR_0019,27.03.21,4,10.45006109,493,0.51915228,PB164_1,1,1,Forest,Malmo,2,2K
1,1,PB164,27.05.14,GT_AMAR_0020,27.03.21,4,9.59393259,493,0.542244186,PB164_1,1,1,Forest,Malmo,2,2K
1,1,PB164,27.05.14,GT_AMAR_0021,27.03.21,4,10.69892443,493,0.640503079,PB164_1,1,1,Forest,Malmo,2,2K
1,2,PB164,27.05.14,GT_AMAR_0022,27.03.21,4,10.05839205,498,0.440004513,PB164_1,1,1,Forest,Malmo,2,2K
1,2,PB164,27.05.14,GT_AMAR_0023,27.03.21,4,9.205464054,493,0.534079971,PB164_1,1,1,Forest,Malmo,2,2K
