measure,pack,id,Ring,samp_date,spectrum,YB,YC,meanyb,meanyc,habitat,sex,age,nest,ok
1,1,PB154,2KR97540,27.05.14,GT_AMAR_0001,11.40096543,0.631534347,10.9773768,0.640218888,Forest,1,2K,V27,1
1,1,PB154,2KR97540,27.05.14,GT_AMAR_0002,10.52026827,0.667001513,10.9773768,0.640218888,Forest,1,2K,V27,1
1,1,PB154,2KR97540,27.05.14,GT_AMAR_0003,10.54001078,0.69523633,10.9773768,0.640218888,Forest,1,2K,V27,1
1,2,PB154,2KR97540,27.05.14,GT_AMAR_0004,11.70209715,0.651567197,10.9773768,0.640218888,Forest,1,2K,V27,1
1,2,PB154,2KR97540,27.05.14,GT_AMAR_0005,10.98709479,0.604988356,10.9773768,0.640218888,Forest,1,2K,V27,1
1,2,PB154,2KR97540,27.05.14,GT_AMAR_0006,10.71382438,0.590985586,10.9773768,0.640218888,Forest,1,2K,V27,1
1,1,PB158,2KR97419,27.05.14,GT_AMAR_0007,11.31657342,0.655406271,11.55102813,0.606007003,Forest,1,3K+,V32,1
1,1,PB158,2KR97419,27.05.14,GT_AMAR_0008,11.83428511,0.634660877,11.55102813,0.606007003,Forest,1,3K+,V32,1
1,1,PB158,2KR97419,27.05.14,GT_AMAR_0009,12.57084109,0.608541332,11.55102813,0.606007003,Forest,1,3K+,V32,1
1,2,PB158,2KR97419,27.05.14,GT_AMAR_0010,10.96715371,0.512913274,11.55102813,0.606007003,Forest,1,3K+,V32,1
1,2,PB158,2KR97419,27.05.14,GT_AMAR_0011,11.8399228,0.632491052,11.55102813,0.606007003,Forest,1,3K+,V32,1
1,2,PB158,2KR97419,27.05.14,GT_AMAR_0012,10.77739262,0.59202921,11.55102813,0.606007003,Forest,1,3K+,V32,1
1,1,PB159,2KP22142,27.05.14,GT_AMAR_0013,10.62339391,0.681567007,10.84962825,0.627276494,Forest,1,2K,V113,1
1,1,PB159,2KP22142,27.05.14,GT_AMAR_0014,10.72134096,0.596984315,10.84962825,0.627276494,Forest,1,2K,V113,1
1,1,PB159,2KP22142,27.05.14,GT_AMAR_0015,10.6944361,0.590862902,10.84962825,0.627276494,Forest,1,2K,V113,1
1,2,PB159,2KP22142,27.05.14,GT_AMAR_0016,10.64832163,0.596666481,10.84962825,0.627276494,Forest,1,2K,V113,1
1,2,PB159,2KP22142,27.05.14,GT_AMAR_0017,11.3095071,0.644976059,10.84962825,0.627276494,Forest,1,2K,V113,1
1,2,PB159,2KP22142,27.05.14,GT_AMAR_0018,11.10076981,0.652602198,10.84962825,0.627276494,Forest,1,2K,V113,1
