measure,pack,id,samp_date,spectrum,meas date,YB,YH,YC,ok,habitat,sex,age,nest
1,1,BA59,7.6.13,COL_AM_POLLOS_0001,13.05.21,9.638093104,498,0.434237693,1,Urban,1,Pull,S124
1,1,BA59,7.6.13,COL_AM_POLLOS_0002,13.05.21,9.830564633,493,0.445379604,1,Urban,1,Pull,S124
1,1,BA59,7.6.13,COL_AM_POLLOS_0003,13.05.21,9.203300684,493,0.471063891,1,Urban,1,Pull,S124
1,2,BA59,7.6.13,COL_AM_POLLOS_0004,13.05.21,11.32595709,498,0.38620655,1,Urban,1,Pull,S124
1,2,BA59,7.6.13,COL_AM_POLLOS_0005,13.05.21,9.906397452,498,0.491177799,1,Urban,1,Pull,S124
1,2,BA59,7.6.13,COL_AM_POLLOS_0006,13.05.21,9.582024583,498,0.427273597,1,Urban,1,Pull,S124
1,1,BA62,7.6.13,COL_AM_POLLOS_0007,13.05.21,13.69199377,498,0.501436743,1,Urban,1,Pull,S124
1,1,BA62,7.6.13,COL_AM_POLLOS_0008,13.05.21,14.50708855,498,0.4952874,1,Urban,1,Pull,S124
1,1,BA62,7.6.13,COL_AM_POLLOS_0009,13.05.21,12.91652017,498,0.56135362,1,Urban,1,Pull,S124
1,2,BA62,7.6.13,COL_AM_POLLOS_0010,13.05.21,13.78236898,493,0.494227267,1,Urban,1,Pull,S124
1,2,BA62,7.6.13,COL_AM_POLLOS_0011,13.05.21,13.46715161,498,0.475333923,1,Urban,1,Pull,S124
1,2,BA62,7.6.13,COL_AM_POLLOS_0012,13.05.21,13.26073216,498,0.494986702,1,Urban,1,Pull,S124
1,1,BA63,7.6.13,COL_AM_POLLOS_0013,13.05.21,12.53300664,498,0.516271273,1,Urban,1,Pull,S124
1,1,BA63,7.6.13,COL_AM_POLLOS_0014,13.05.21,10.42107277,498,0.489087192,1,Urban,1,Pull,S124
1,1,BA63,7.6.13,COL_AM_POLLOS_0015,13.05.21,12.29998486,498,0.490933012,1,Urban,1,Pull,S124
1,2,BA63,7.6.13,COL_AM_POLLOS_0016,13.05.21,12.38128515,498,0.413820945,1,Urban,1,Pull,S124
1,2,BA63,7.6.13,COL_AM_POLLOS_0017,13.05.21,11.6717047,498,0.475359628,1,Urban,1,Pull,S124
